Послуга;Процес
перевірка та аналіз поточного стану інформаційних систем (аналіз та технічна підтримка працюючих сервісів та програм, перевірка останніх версій програмного забезпечення та оновлень до нього);Управління безпекою інформаційних систем
проведення комплексної перевірки та аналізу інформаційної безпеки;Управління безпекою інформаційних систем
аудит робочих станцій на відповідність стандартам інформаційної безпеки;Управління безпекою обчислювальних систем
перевірка серверів на відповідність стандартам інформаційної безпеки;Управління безпекою обчислювальних систем
надання консультацій щодо перевірки на відповідність стандартам ПІБ серверів;Управління безпекою обчислювальних систем
моніторинг подій в роботі антивірусного програмного забезпечення;Моніторинг та реагування на події та інциденти ІБ
контроль резервного копіювання;Управління безпекою інформаційних систем
централізоване управління і контроль захищеності інформаційних систем;Управління безпекою обчислювальних систем
узгодження надання доступу до ІС;Управління правами доступу
технічна підтримка сервісів;Управління безпекою інформаційних систем
розробка та організація впровадження рекомендацій щодо підвищення стану ІБ;Управлінська та організаційна діяльність
надання інформації з питань надання послуг з інформаційної безпеки;Управлінська та організаційна діяльність
виявлення атак, підозрілої активності, спроб несанкціонованого доступу та оперативного реагування;Моніторинг та реагування на події та інциденти ІБ
захист від несанкціонованого доступу до інформаційних активів Замовника, виключення неправомірного доступу, розмежування прав користувачів;Управління правами доступу
моніторинг подій інформаційної та кібербезпеки в мережі замовника;Моніторинг та реагування на події та інциденти ІБ
моніторинг подій інформаційної безпеки;Моніторинг та реагування на події та інциденти ІБ
моніторинг вразливостей інформаційної безпеки;Управління безпекою обчислювальних систем
перевірка та контроль усунення вразливостей;Управління безпекою обчислювальних систем
управління інформаційними активами;Захист даних
моніторинг забезпечення конфіденційності інформаційних активів;Захист даних
моніторинг забезпечення конфіденційності інформаційних активів в хмарних сервісах;Захист даних
аналіз ризиків інформаційної безпеки;Управління ризиками ІБ
проведення оцінки ризиків інформаційної безпеки;Управління ризиками ІБ
актуалізація зведеної відомості інформаційних активів;Управління ризиками ІБ
актуалізація плану обробки ризиків;Управління ризиками ІБ
перегляд (оновлення) матриці ризиків інформаційної безпеки;Управління ризиками ІБ
мінімізація ризиків використання вразливого програмного забезпечення;Управління безпекою обчислювальних систем
дослідження інцидентів;Моніторинг та реагування на події та інциденти ІБ
налаштування та опрацювання подій в інформаційних системах;Моніторинг та реагування на події та інциденти ІБ
участь в проведенні аудитів інформаційної безпеки та перевірок захищеності елементів інформаційних систем;Управління безпекою інформаційних систем
організація та проведення заходів щодо попередження та запобігання надзвичайним ситуаціям;Управління безперервністю ІБ
організація навчання (супровід проходження навчання в сфері ІБ, аналіз логів);Навчання та підвищення обізнаності у сфері ІБ
підвищення обізнаності співробітників Компанії з питань ІБ;Навчання та підвищення обізнаності у сфері ІБ
участь у проведенні службових розслідувань, перевірок та аудитів з питань дотримання Політики інформаційної безпеки;Моніторинг та реагування на події та інциденти ІБ
створення нормативної документації в сфері інформаційної безпеки;Управління документацією СУІБ
плановий/неплановий перегляд нормативної документації в сфері інформаційної безпеки;Управління документацією СУІБ
оновлення учбових матеріалів для організації періодичного навчання в сфері ІБ;Навчання та підвищення обізнаності у сфері ІБ
складання звітності за результатами надання послуг забезпечення кібербезпеки;Управлінська та організаційна діяльність
перевірки, аналіз та класифікація можливих загроз;Управління ризиками ІБ
надання звітності щодо інцидентів інформаційної безпеки;Моніторинг та реагування на події та інциденти ІБ
надання рекомендацій щодо алгоритмів ліквідації загроз;Моніторинг та реагування на події та інциденти ІБ
опрацювання вимог ІБ до рішення вибору проектів;Управління безпекою інформаційних систем
опрацювання подій, пов'язаних з доступністю інформації;Моніторинг та реагування на події та інциденти ІБ
координування та відстеження прогресу виконання проектів ІБ;Управління безпекою інформаційних систем
ведення проектів щодо впровадження рішень ІБ та методологічної підтримки;Управлінська та організаційна діяльність
супровід або консультування в рамках проекту;Управлінська та організаційна діяльність
консультування з питань забезпечення та проведення службових перевірок та розслідувань;Моніторинг та реагування на події та інциденти ІБ
надання послуг з експлуатації та технічного обслуговування комунікаційного обладнання;Управління безпекою мережі
проведення досліджень та здійснення експериментальних розробок у сфері забезпечення кібербезпеки;Управлінська та організаційна діяльність
